"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"1","Pocillopora_acuta_HIv2___RNAseq.g6351.t1",1780.06230928926,-6.55617592441256,0.680641849773337,2.76863968058043e-24,4.00456043399153e-20,"B3EWY8",8.79e-09,"Skeletal aspartic acid-rich protein 2","","GO:0016020","membrane [GO:0016020]",""
"2","Pocillopora_acuta_HIv2___RNAseq.g28575.t1a",2844.3905409903,17.552550331507,3.972464118268,4.35406812539054e-20,3.14886206828244e-16,"G5EBQ8",7.13e-107,"Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)","cell wall chitin biosynthetic process [GO:0006038]; chitin biosynthetic process [GO:0006031]; positive regulation of nematode larval development [GO:0061063]","GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0030428; GO:0061063; GO:0071944","cell periphery [GO:0071944]; cell septum [GO:0030428]; plasma membrane [GO:0005886]","chitin synthase activity [GO:0004100]"
"3","Pocillopora_acuta_HIv2___RNAseq.g27038.t1",1882.71411858623,16.7964263086838,3.76680294539686,1.66847362067957e-19,8.04426748316979e-16,"P24383",4.23e-13,"Protein Wnt-7a","angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; asymmetric protein localization involved in cell fate determination [GO:0045167]; canonical Wnt signaling pathway [GO:0060070]; cartilage condensation [GO:0001502]; cartilage development [GO:0051216]; cell fate commitment [GO:0045165]; cell proliferation in forebrain [GO:0021846]; cell-cell signaling [GO:0007267]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system vasculogenesis [GO:0022009]; cerebellar granule cell differentiation [GO:0021707]; chondrocyte differentiation [GO:0002062]; dendritic spine morphogenesis [GO:0060997]; dorsal/ventral pattern formation [GO:0009953]; embryonic axis specification [GO:0000578]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; embryonic limb morphogenesis [GO:0030326]; establishment of blood-brain barrier [GO:0060856]; establishment of cell polarity [GO:0030010]; limb development [GO:0060173]; negative regulation of apoptotic process [GO:0043066]; negative regulation of neurogenesis [GO:0050768]; neuron differentiation [GO:0030182]; neurotransmitter secretion [GO:0007269]; non-canonical Wnt signaling pathway [GO:0035567]; oviduct development [GO:0060066]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of excitatory synapse assembly [GO:1904891]; positive regulation of gene expression [GO:0010628]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of synapse assembly [GO:0051965]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of axon diameter [GO:0031133]; regulation of axonogenesis [GO:0050770]; regulation of cell population proliferation [GO:0042127]; regulation of epithelial cell proliferation [GO:0050678]; regulation of postsynapse organization [GO:0099175]; regulation of presynapse assembly [GO:1905606]; regulation of synaptic vesicle exocytosis [GO:2000300]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; secondary palate development [GO:0062009]; signal transduction [GO:0007165]; skeletal muscle satellite cell activation [GO:0014719]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; stem cell development [GO:0048864]; synapse assembly [GO:0007416]; synapse organization [GO:0050808]; uterus development [GO:0060065]; uterus morphogenesis [GO:0061038]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; wound healing, spreading of epidermal cells [GO:0035313]","GO:0000578; GO:0001502; GO:0001525; GO:0002062; GO:0005102; GO:0005109; GO:0005125; GO:0005615; GO:0005788; GO:0006915; GO:0007165; GO:0007267; GO:0007269; GO:0007416; GO:0008284; GO:0009887; GO:0009953; GO:0009986; GO:0010595; GO:0010628; GO:0014719; GO:0014834; GO:0016055; GO:0021707; GO:0021846; GO:0022009; GO:0030010; GO:0030182; GO:0030326; GO:0031012; GO:0031133; GO:0032355; GO:0035019; GO:0035115; GO:0035116; GO:0035313; GO:0035567; GO:0042127; GO:0042733; GO:0043066; GO:0043627; GO:0045165; GO:0045167; GO:0045893; GO:0045944; GO:0046330; GO:0048103; GO:0048864; GO:0050678; GO:0050768; GO:0050770; GO:0050808; GO:0051216; GO:0051247; GO:0051965; GO:0060054; GO:0060065; GO:0060066; GO:0060070; GO:0060071; GO:0060173; GO:0060856; GO:0060997; GO:0061038; GO:0062009; GO:0071560; GO:0098685; GO:0098793; GO:0098978; GO:0099175; GO:1904891; GO:1905606; GO:2000300; GO:2000463","cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; presynapse [GO:0098793]; Schaffer collateral - CA1 synapse [GO:0098685]","cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; signaling receptor binding [GO:0005102]"
"4","Pocillopora_acuta_HIv2___RNAseq.g2165.t1",1608.73918294661,16.5688340887303,3.75190702007735,3.90714833509829e-19,1.2220443789758e-15,"Q9CXI3",9.57e-14,"DBH-like monooxygenase protein 1 (EC 1.14.17.-) (DBH-related protein) (Monooxygenase X)","dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]","GO:0004500; GO:0005507; GO:0005615; GO:0005789; GO:0006589; GO:0030667; GO:0042420; GO:0042421","endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; secretory granule membrane [GO:0030667]","copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]"
"5","Pocillopora_acuta_HIv2___TS.g18104.t1",1967.6090074664,16.8137638451931,3.79636568051312,4.22443438528691e-19,1.2220443789758e-15,"P51029",7.78e-22,"Protein Wnt-8b","canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; commissural neuron axon guidance [GO:0071679]; embryonic pattern specification [GO:0009880]; eye development [GO:0001654]; eye field cell fate commitment involved in camera-type eye formation [GO:0060898]; forebrain development [GO:0030900]; forebrain neuron differentiation [GO:0021879]; hypothalamus development [GO:0021854]; neuron differentiation [GO:0030182]; otic placode formation [GO:0043049]; sensory epithelium regeneration [GO:0070654]; Wnt signaling pathway [GO:0016055]","GO:0001654; GO:0005109; GO:0005125; GO:0005615; GO:0009880; GO:0016055; GO:0021854; GO:0021879; GO:0030182; GO:0030900; GO:0043049; GO:0045165; GO:0060070; GO:0060898; GO:0070654; GO:0071679","extracellular space [GO:0005615]","cytokine activity [GO:0005125]; frizzled binding [GO:0005109]"
"6","Pocillopora_acuta_HIv2___RNAseq.g14330.t3",2168.32101516159,-16.5174798339588,3.92559281563418,6.66109002662785e-19,1.60576676908575e-15,"B8V7S0",6.57e-97,"CUB and peptidase domain-containing protein 1","acrosome reaction [GO:0007340]; proteolysis [GO:0006508]","GO:0004252; GO:0005576; GO:0006508; GO:0007340","extracellular region [GO:0005576]","serine-type endopeptidase activity [GO:0004252]"
"7","Pocillopora_acuta_HIv2___RNAseq.g14090.t1",2027.22358063107,-16.4360779665669,3.92208641829059,1.09543012722057e-18,2.11271333607247e-15,"G8HTB6",3.49e-20,"ZP domain-containing protein","","GO:0016020","membrane [GO:0016020]",""
"8","Pocillopora_acuta_HIv2___RNAseq.g14025.t1",2533.20105807112,-16.6012727225995,3.9621682158394,1.16853613720823e-18,2.11271333607247e-15,NA,NA,NA,NA,NA,NA,NA
"9","Pocillopora_acuta_HIv2___RNAseq.g3832.t1",4681.36281946371,12.4923100906536,2.34800676062112,5.39932632416155e-18,8.28049105279012e-15,"Q566X8",1.47e-36,"Diencephalon/mesencephalon homeobox protein 1-B","midbrain development [GO:0030901]; regulation of cell cycle [GO:0051726]; regulation of mitotic cell cycle [GO:0007346]; regulation of neural retina development [GO:0061074]; regulation of neurogenesis [GO:0050767]; regulation of transcription by RNA polymerase II [GO:0006357]; retina development in camera-type eye [GO:0060041]","GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007346; GO:0030901; GO:0050767; GO:0051726; GO:0060041; GO:0061074","nucleus [GO:0005634]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]"
"10","Pocillopora_acuta_HIv2___RNAseq.g8006.t1",1858.29368115358,-16.1656027241217,3.91968160320976,5.74180076635045e-18,8.28049105279012e-15,NA,NA,NA,NA,NA,NA,NA
"11","Pocillopora_acuta_HIv2___RNAseq.g10378.t1",1200.09323446445,16.1580082923704,3.73275266177174,6.29738672432877e-18,8.28049105279012e-15,"P22897",1.35e-39,"Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)","cellular response to interleukin-4 [GO:0071353]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to type II interferon [GO:0071346]; receptor-mediated endocytosis [GO:0006898]","GO:0001618; GO:0004888; GO:0005537; GO:0005886; GO:0006898; GO:0009986; GO:0010008; GO:0038023; GO:0038024; GO:0071222; GO:0071346; GO:0071353","cell surface [GO:0009986]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]","cargo receptor activity [GO:0038024]; D-mannose binding [GO:0005537]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]"
