"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"1","Pocillopora_acuta_HIv2___RNAseq.g6351.t1",1780.06230928926,-6.55617592441256,0.680641849773337,2.76863968058043e-24,4.00456043399153e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pocillopora_acuta_HIv2___RNAseq.g28575.t1a",2844.3905409903,17.552550331507,3.972464118268,4.35406812539054e-20,3.14886206828244e-16,"45351.EDO41482",2.46e-179,556,"COG1215@1|root,KOG2571@2759|Eukaryota,38HE4@33154|Opisthokonta,3BD2R@33208|Metazoa","33208|Metazoa","M","cell wall polysaccharide biosynthetic process","-","GO:0000003,GO:0000271,GO:0001655,GO:0001838,GO:0002009,GO:0003006,GO:0003674,GO:0003824,GO:0004100,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005938,GO:0005975,GO:0005976,GO:0006022,GO:0006023,GO:0006030,GO:0006031,GO:0006034,GO:0006035,GO:0006037,GO:0006038,GO:0006040,GO:0006807,GO:0006950,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007424,GO:0007442,GO:0007443,GO:0007591,GO:0007593,GO:0008150,GO:0008152,GO:0008194,GO:0008362,GO:0008375,GO:0009058,GO:0009059,GO:0009611,GO:0009653,GO:0009790,GO:0009887,GO:0009888,GO:0009987,GO:0010383,GO:0016020,GO:0016021,GO:0016051,GO:0016331,GO:0016740,GO:0016757,GO:0016758,GO:0017144,GO:0019953,GO:0021700,GO:0022404,GO:0022412,GO:0022414,GO:0030154,GO:0030428,GO:0030703,GO:0031224,GO:0032501,GO:0032502,GO:0032504,GO:0032879,GO:0032880,GO:0033692,GO:0034637,GO:0034645,GO:0035148,GO:0035150,GO:0035151,GO:0035152,GO:0035158,GO:0035159,GO:0035239,GO:0035295,GO:0035296,GO:0040003,GO:0042303,GO:0042335,GO:0042546,GO:0043170,GO:0043473,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0044703,GO:0045177,GO:0046349,GO:0048066,GO:0048067,GO:0048085,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048546,GO:0048565,GO:0048598,GO:0048609,GO:0048619,GO:0048646,GO:0048729,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050896,GO:0051704,GO:0055123,GO:0060341,GO:0060429,GO:0060438,GO:0060439,GO:0060541,GO:0060562,GO:0061326,GO:0061333,GO:0061525,GO:0065007,GO:0065008,GO:0070589,GO:0070592,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:0072001,GO:0072002,GO:0072175,GO:0090066,GO:0099568,GO:1901071,GO:1901073,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903827,GO:1903829,GO:1904375,GO:1904377,GO:1904776,GO:1904778","2.4.1.16","ko:K00698","ko00520,map00520","-","R02335","RC00005","ko00000,ko00001,ko01000,ko01003","-","GT2","-","Chitin_synth_2"
"3","Pocillopora_acuta_HIv2___RNAseq.g27038.t1",1882.71411858623,16.7964263086838,3.76680294539686,1.66847362067957e-19,8.04426748316979e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Pocillopora_acuta_HIv2___RNAseq.g2165.t1",1608.73918294661,16.5688340887303,3.75190702007735,3.90714833509829e-19,1.2220443789758e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pocillopora_acuta_HIv2___TS.g18104.t1",1967.6090074664,16.8137638451931,3.79636568051312,4.22443438528691e-19,1.2220443789758e-15,"34506.g7701",7.08e-09,63.9,"KOG3913@1|root,KOG3913@2759|Eukaryota,39THQ@33154|Opisthokonta,3BJ1J@33208|Metazoa,3CXDI@33213|Bilateria,40D1Q@6231|Nematoda,1KYE9@119089|Chromadorea,40XYW@6236|Rhabditida","33208|Metazoa","T","found in Wnt-1","WNT16","GO:0000132,GO:0000226,GO:0000278,GO:0001654,GO:0001664,GO:0001837,GO:0001932,GO:0001934,GO:0002009,GO:0002072,GO:0003002,GO:0003007,GO:0003408,GO:0003674,GO:0005102,GO:0005109,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0006928,GO:0006950,GO:0006979,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0007154,GO:0007163,GO:0007165,GO:0007166,GO:0007267,GO:0007275,GO:0007389,GO:0007399,GO:0007423,GO:0007507,GO:0007568,GO:0007569,GO:0008150,GO:0008283,GO:0008356,GO:0008544,GO:0009653,GO:0009790,GO:0009798,GO:0009887,GO:0009888,GO:0009893,GO:0009913,GO:0009966,GO:0009967,GO:0009987,GO:0010468,GO:0010469,GO:0010562,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010720,GO:0010721,GO:0010769,GO:0010770,GO:0010941,GO:0010975,GO:0010976,GO:0014066,GO:0014068,GO:0016043,GO:0016055,GO:0016331,GO:0016477,GO:0019220,GO:0019222,GO:0019899,GO:0019900,GO:0019901,GO:0022008,GO:0022402,GO:0022603,GO:0022604,GO:0023051,GO:0023052,GO:0023056,GO:0030010,GO:0030154,GO:0030182,GO:0030216,GO:0030334,GO:0030335,GO:0030336,GO:0030545,GO:0030855,GO:0030971,GO:0031076,GO:0031323,GO:0031325,GO:0031344,GO:0031346,GO:0031399,GO:0031401,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032872,GO:0032874,GO:0032879,GO:0033554,GO:0034599,GO:0040001,GO:0040011,GO:0040012,GO:0040013,GO:0040017,GO:0040028,GO:0042221,GO:0042325,GO:0042327,GO:0043010,GO:0043408,GO:0043410,GO:0043588,GO:0043616,GO:0044421,GO:0044424,GO:0044464,GO:0045165,GO:0045595,GO:0045596,GO:0045597,GO:0045664,GO:0045666,GO:0045937,GO:0046328,GO:0046330,GO:0046849,GO:0048018,GO:0048048,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048562,GO:0048568,GO:0048580,GO:0048583,GO:0048584,GO:0048592,GO:0048593,GO:0048596,GO:0048598,GO:0048646,GO:0048699,GO:0048729,GO:0048731,GO:0048762,GO:0048771,GO:0048856,GO:0048869,GO:0048870,GO:0050673,GO:0050767,GO:0050768,GO:0050769,GO:0050770,GO:0050772,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0050920,GO:0050921,GO:0051093,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051270,GO:0051271,GO:0051272,GO:0051293,GO:0051294,GO:0051301,GO:0051640,GO:0051641,GO:0051649,GO:0051653,GO:0051656,GO:0051674,GO:0051716,GO:0051960,GO:0051961,GO:0051962,GO:0060070,GO:0060255,GO:0060284,GO:0060317,GO:0060429,GO:0060485,GO:0060548,GO:0060900,GO:0060972,GO:0061062,GO:0065007,GO:0065009,GO:0070302,GO:0070304,GO:0070887,GO:0070986,GO:0071840,GO:0072359,GO:0080090,GO:0080134,GO:0080135,GO:0090398,GO:0090399,GO:0090400,GO:0090403,GO:0090596,GO:0098772,GO:0120035,GO:0198738,GO:1902531,GO:1902533,GO:1902667,GO:1902669,GO:1902850,GO:1903047,GO:1903354,GO:1903356,GO:1905114,GO:1905483,GO:1905484,GO:1905485,GO:1905486,GO:1905488,GO:1905489,GO:1905491,GO:1990782,GO:2000026,GO:2000145,GO:2000146,GO:2000147,GO:2001222,GO:2001223,GO:2001224","-","ko:K01558","ko04150,ko04310,ko04390,ko04550,ko04916,ko04934,ko05165,ko05166,ko05200,ko05202,ko05205,ko05217,ko05224,ko05225,ko05226,map04150,map04310,map04390,map04550,map04916,map04934,map05165,map05166,map05200,map05202,map05205,map05217,map05224,map05225,map05226","M00677","-","-","ko00000,ko00001,ko00002,ko00536","-","-","-","wnt"
"6","Pocillopora_acuta_HIv2___RNAseq.g14330.t3",2168.32101516159,-16.5174798339588,3.92559281563418,6.66109002662785e-19,1.60576676908575e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Pocillopora_acuta_HIv2___RNAseq.g14090.t1",2027.22358063107,-16.4360779665669,3.92208641829059,1.09543012722057e-18,2.11271333607247e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pocillopora_acuta_HIv2___RNAseq.g14025.t1",2533.20105807112,-16.6012727225995,3.9621682158394,1.16853613720823e-18,2.11271333607247e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Pocillopora_acuta_HIv2___RNAseq.g3832.t1",4681.36281946371,12.4923100906536,2.34800676062112,5.39932632416155e-18,8.28049105279012e-15,"7994.ENSAMXP00000018631",4.56e-31,124,"KOG0490@1|root,KOG0490@2759|Eukaryota,38T2F@33154|Opisthokonta,3BCIJ@33208|Metazoa,3CX6T@33213|Bilateria,481W9@7711|Chordata,48W74@7742|Vertebrata,49Y7G@7898|Actinopterygii","33208|Metazoa","K","Diencephalon mesencephalon homeobox","DMBX1","GO:0000122,GO:0000976,GO:0000977,GO:0000981,GO:0001012,GO:0001067,GO:0001227,GO:0001654,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0006355,GO:0006357,GO:0007275,GO:0007346,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0007610,GO:0007626,GO:0007631,GO:0008150,GO:0008343,GO:0008344,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0022008,GO:0030154,GO:0030534,GO:0030901,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032501,GO:0032502,GO:0032991,GO:0040007,GO:0042802,GO:0042803,GO:0043010,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0045595,GO:0045892,GO:0045934,GO:0046982,GO:0046983,GO:0048513,GO:0048519,GO:0048523,GO:0048589,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051172,GO:0051239,GO:0051252,GO:0051253,GO:0051726,GO:0051960,GO:0060041,GO:0060255,GO:0060284,GO:0060322,GO:0061074,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1902866,GO:1903506,GO:1903507,GO:1990837,GO:2000026,GO:2000112,GO:2000113,GO:2001141","-","-","-","-","-","-","-","-","-","-","Homeobox,OAR"
"10","Pocillopora_acuta_HIv2___RNAseq.g8006.t1",1858.29368115358,-16.1656027241217,3.91968160320976,5.74180076635045e-18,8.28049105279012e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
