"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","List","definition","Classification","def_short"
"1","Pocillopora_acuta_HIv2___RNAseq.g14253.t1",1084.62610850225,-16.0445141663487,3.90624809872933,1.44591542596939e-17,1.74281006010177e-14,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"2","Pocillopora_acuta_HIv2___RNAseq.g8588.t1",783.119333561871,-15.6153127172643,3.9051028378868,2.20218782440551e-16,1.44783839510006e-13,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"3","Pocillopora_acuta_HIv2___RNAseq.g1126.t1",3758.53930256433,-14.622203591558,3.17967327851235,3.81357666606464e-14,8.61868326530609e-12,"Searched Keywords","Coadhesin","Extracellular matrix/cell adhesion","Coadhesin"
"4","Pocillopora_acuta_HIv2___RNAseq.g26596.t1",503.322440157317,13.83455275543,3.64254352279667,1.26882277566196e-12,1.58209074372195e-10,"Searched Keywords","Hemicentin-2","Extracellular matrix/cell adhesion","Hemicentin-2"
"5","Pocillopora_acuta_HIv2___RNAseq.g22261.t1",1251.45084902703,-15.9898703829579,4.32646956749874,3.15422735104766e-12,3.42898034571482e-10,"Biomin_Genes","Adi-SAARP2,Skeletal acidic Asp-rich Protein 2 (SAARP2),Uncharacterized skeletal organic matrix protein-4  (USOMP-4),skeletal aspartic acid-rich protein 2-like (CARP5)","Acidic proteins","Adi-SAARP2,Skeletal acidic Asp-rich P..."
"6","Pocillopora_acuta_HIv2___RNAseq.g14347.t1",3739.22928222091,-9.56130060539418,2.39924640453721,3.75668654580499e-12,3.8811938713231e-10,"Searched Keywords","Collagen alpha-4(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-4(VI) chain"
"7","Pocillopora_acuta_HIv2___RNAseq.g31286.t1c",336.709257994196,13.2234554503822,3.67702577700665,1.32425308955011e-11,1.12670568748546e-09,"Searched Keywords","Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)","Uncharacterized biomineralization proteins","Uncharacterized skeletal organic matr..."
"8","Pocillopora_acuta_HIv2___TS.g12860.t1",867.113858485982,-12.4390075914916,3.31498685272648,2.69724078675891e-11,2.07515376274898e-09,"Searched Keywords","Collagen alpha-1(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-1(VI) chain"
"9","Pocillopora_acuta_HIv2___RNAseq.g14348.t1",242.989419613007,12.8191483453053,3.53959303930154,4.04945356913493e-11,2.88608038072635e-09,"Searched Keywords","Collagen alpha-4(VI) chain","Extracellular matrix/cell adhesion","Collagen alpha-4(VI) chain"
"10","Pocillopora_acuta_HIv2___TS.g12304.t1",114980.255845133,-5.89084566490943,1.20561838355778,6.31984219863399e-11,4.04469900712575e-09,"Biomin_Genes","carbonic anhydrase [Stylophora pistillata],carbonic anhydrase 2,Annotated: Carbonic Anhydrase (STPCA2-1),Annotated: CarbonicAnhyrase","Enzymes","carbonic anhydrase [Stylophora pistil..."
"11","Pocillopora_acuta_HIv2___RNAseq.6257_t",1225.63410570247,12.3486864644056,3.1920024374979,1.09079560301146e-10,6.23607415097143e-09,"Searched Keywords","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)","Extracellular matrix/cell adhesion","Collagen alpha-5(VI) chain (Collagen ..."
"12","Pocillopora_acuta_HIv2___TS.g23175.t1",218.460484313913,12.410050917337,3.52778562066305,2.53077723892608e-10,1.26926325747905e-08,"Searched Keywords","Hemicentin-1 (Fibulin-6) (FIBL-6)","Extracellular matrix/cell adhesion","Hemicentin-1 (Fibulin-6) (FIBL-6)"
"13","Pocillopora_acuta_HIv2___RNAseq.g6446.t1",7264.0806341713,-4.25723385913054,0.765020624777039,2.53606942347516e-10,1.26926325747905e-08,"Biomin_Genes","Annotated: Thrombospondin-like protein (Thrombospondin),Annotated: Coadhesin,clone g9951 alpha collagen-like protein gene,CARP9,Thrombospondin,Hemicentin,coadhesin-like isoform X3 [Stylophora pistillata]","Extracellular matrix/cell adhesion","Annotated: Thrombospondin-like protei..."
